client_id,שם,גיל,מגדר,עיר,סוג_שירות,תאריך_הצטרפות,סכום_תיק,הכנסה_חודשית,מספר_פניות_שנה_אחרונה,זמן_תגובה_ממוצע_שעות,שביעות_רצון,סטטוס,תאריך_נטישה
C1000,דוד גולדשטיין,40,זכר,באר שבע,ביטוח בריאות,22/02/2024,1381655,5894,2,57.5,6,לא פעיל,29/11/2025
C1001,דני עוז,51,זכר,באר שבע,ביטוח רכב,26/05/2023,915983,1909,5,67.6,5,לא פעיל,01/12/2023
C1002,גיא פרץ,30,זכר,נתניה,ביטוח חיים,20/06/2021,753259,2069,14,52.4,7,פעיל,
C1003,אורלי מזרחי,27,נקבה,כפר סבא,פנסיה,03/05/2025,1069406,3131,3,37.7,7,פעיל,
C1004,תמר אלון,47,נקבה,באר שבע,חיסכון ארוך טווח,21/11/2024,572183,564,5,52.2,6,לא פעיל,13/11/2025
C1005,גיא לוי,39,זכר,הוד השרון,ייעוץ השקעות,13/06/2025,1409043,732,10,22,10,פעיל,
C1006,ליאת גולדשטיין,33,נקבה,באר שבע,חיסכון ארוך טווח,14/10/2024,1148618,5316,11,22.6,10,פעיל,
C1007,משה ביטון,65,זכר,חיפה,תכנון פיננסי,13/02/2023,1248165,2370,14,51.7,6,פעיל,
C1008,משה עוז,42,זכר,גבעתיים,ייעוץ מס,14/05/2019,924769,901,8,93.4,3,לא פעיל,14/03/2021
C1009,אורלי ביטון,48,נקבה,גבעתיים,ביטוח בריאות,01/09/2023,1153252,2576,0,12.5,7,פעיל,
C1010,דנה לוי,40,נקבה,מודיעין,ביטוח חיים,16/12/2019,241046,2127,4,14.1,7,פעיל,
C1011,אורלי עוז,71,נקבה,רמת גן,פנסיה,13/05/2024,1428310,4302,14,86.6,4,לא פעיל,20/02/2025
C1012,אבי דהן,26,זכר,רעננה,פנסיה,01/04/2023,964202,621,1,23.5,10,לא פעיל,30/12/2023
C1013,גל פרידמן,59,נקבה,חיפה,ביטוח רכב,26/08/2020,835929,1419,3,63.9,4,לא פעיל,19/11/2021
C1014,רחל פרץ,28,נקבה,נתניה,ייעוץ מס,08/02/2025,1497871,709,14,15.2,9,פעיל,
C1015,תומר עוז,31,זכר,תל אביב,ייעוץ השקעות,06/04/2019,730404,2216,6,83.3,5,פעיל,
C1016,ניר כהן,49,זכר,ראשון לציון,ביטוח רכב,23/07/2021,846756,6306,15,16.6,7,פעיל,
C1017,יוסי גנור,28,זכר,רעננה,ביטוח רכב,06/09/2023,708776,657,2,82,8,לא פעיל,14/12/2023
C1018,ניר פרץ,61,זכר,באר שבע,ייעוץ השקעות,14/02/2023,1172974,3930,10,89.9,4,לא פעיל,24/04/2024
C1019,עומר רביב,45,זכר,מודיעין,ביטוח חיים,20/08/2019,689994,4908,2,52.5,8,פעיל,
C1020,איתי מזרחי,40,זכר,פתח תקווה,חיסכון ארוך טווח,27/08/2020,507875,3699,0,64.8,2,לא פעיל,10/02/2021
C1021,נועה פרץ,72,נקבה,הרצליה,ביטוח בריאות,20/05/2021,1000432,1550,6,66.6,4,פעיל,
C1022,שירה לוי,30,נקבה,כפר סבא,תכנון פיננסי,02/05/2025,1351911,114,4,61.9,5,פעיל,
C1023,שרה פרץ,29,נקבה,מודיעין,ביטוח בריאות,27/01/2023,558411,2264,4,42.4,9,לא פעיל,05/03/2024
C1024,איתי פרידמן,68,זכר,באר שבע,ביטוח חיים,28/09/2021,1120278,3538,4,89,4,פעיל,
C1025,עידו כהן,36,זכר,רמת גן,ייעוץ מס,26/07/2025,1588801,5226,7,27.1,9,פעיל,
C1026,ניר לוי,55,זכר,באר שבע,פנסיה,12/08/2025,1177983,2388,7,23,7,פעיל,
C1027,אלון אלון,66,זכר,הרצליה,תכנון פיננסי,11/09/2024,1360035,145,8,18.8,7,פעיל,
C1028,צחי דרור,63,זכר,נתניה,ייעוץ מס,14/06/2024,1189479,5222,3,38.2,6,פעיל,
C1029,דני אלון,52,זכר,ירושלים,ייעוץ מס,22/06/2023,1442317,2512,9,49.7,6,פעיל,
C1030,עדי בן דוד,60,נקבה,חיפה,פנסיה,13/11/2022,1238390,4770,5,59.9,5,לא פעיל,02/10/2023
C1031,עידו רוזן,63,זכר,כפר סבא,ייעוץ מס,15/08/2022,976270,2407,15,76.6,6,פעיל,
C1032,אבי בן דוד,57,זכר,כפר סבא,ייעוץ מס,22/04/2019,914653,1173,6,15.9,10,פעיל,
C1033,תומר ברזילי,65,זכר,רעננה,פנסיה,13/12/2024,1297507,2389,4,63.7,6,לא פעיל,31/01/2026
C1034,עידו שפירא,36,זכר,גבעתיים,ביטוח רכב,08/09/2019,799441,6998,14,14.5,7,פעיל,
C1035,שני סגל,71,נקבה,מודיעין,תכנון פיננסי,15/09/2025,1130624,2853,15,44.3,7,פעיל,
C1036,גל שפירא,42,נקבה,אשדוד,ביטוח חיים,08/05/2024,972139,1244,2,15,9,פעיל,
C1037,עידו ברזילי,46,זכר,הרצליה,ביטוח רכב,07/01/2022,850864,4061,0,82.5,6,פעיל,
C1038,גל כהן,47,נקבה,ראשון לציון,תכנון פיננסי,18/07/2025,1364802,5182,7,47.9,6,פעיל,
C1039,תמר רביב,33,נקבה,רעננה,ייעוץ השקעות,19/10/2022,1057125,1557,13,14.8,10,פעיל,
C1040,אלון ברק,45,זכר,באר שבע,ביטוח רכב,25/06/2021,344566,4049,13,25.7,8,פעיל,
C1041,דנה מזרחי,66,נקבה,תל אביב,ייעוץ השקעות,27/04/2020,271624,265,7,13.9,9,פעיל,
